cluster,aps
0,"[675127, 675159, 675191, 593305, 667028, 650726, 699997, 683668, 667354, 642906, 683873, 659322, 651237, 700437, 659516, 667734, 708695, 708716, 684255, 676152, 651585, 692574, 725329, 676202, 725351, 651672, 676300, 684521, 717402, 291424, 717423, 651970, 712718, 652047, 712739, 598109, 652134, 647274, 676738, 680075, 663694, 693178, 655571, 726008, 726029, 644153, 655603, 701515, 680271, 685394, 652692, 644578, 647618, 721349, 721370, 647676, 644663, 693878, 669346, 656027, 644831, 705223, 656099, 612182, 595836, 664404, 653255, 713698, 680929, 656359, 713720, 653464, 678034, 686228, 653612, 637216, 670007, 637280, 686435, 697528, 670172, 645640, 653834, 612869, 711196, 653882, 711217, 645710, 645742, 662125, 670344, 703107, 670393, 686782, 645890, 629593, 670557, 424980, 252956, 687155, 687354, 638194, 654622, 728343, 728364, 679235, 646480, 638427, 720368, 687624, 720389, 638482, 654922, 654976, 671481, 50672, 681527, 638924, 679913, 714506, 722695, 714527, 722716, 673648, 657297, 640977, 673747, 673837, 665636, 706618, 706640, 673918, 690316, 641174, 657629, 723205, 723227, 690502, 387431, 641488, 641541, 698928, 158327, 723585, 682630, 723607, 674494, 641727, 699116, 674553, 641794, 658329, 658390, 674785, 166921, 699431, 666700, 691364, 683213]"
1,"[717827, 717848, 693942, 640328, 608392, 117068]"
2,"[478534, 707912, 593217, 699713, 707933, 724305, 593261, 699745, 724326, 724347, 707954, 724368, 658866, 691682, 699873, 699905, 618010, 290349, 593481, 650823, 716413, 609906, 650910, 716434, 700093, 487110, 601850, 675600, 667436, 716623, 700251, 601938, 200536, 28510, 716644, 700315, 569261, 708610, 708631, 184385, 651328, 692318, 725116, 700563, 725137, 725158, 725179, 700627, 37136, 684334, 725286, 725307, 479591, 725372, 725393, 111019, 389624, 692764, 561685, 619065, 684611, 692860, 610929, 602758, 684692, 676527, 144101, 488178, 611061, 729102, 688130, 226058, 360471, 679981, 729123, 696356, 684849, 373596, 611193, 308102, 398213, 701325, 668571, 704631, 627606, 606351, 283591, 688322, 696512, 647364, 594912, 450778, 704727, 660488, 103536, 701579, 655664, 693400, 254274, 685213, 688450, 611478, 701611, 16725, 709799, 693432, 709820, 611522, 701675, 406752, 726267, 300288, 726288, 726309, 726330, 95541, 701771, 611654, 718163, 709969, 718184, 709990, 701835, 669076, 598417, 623081, 705011, 696832, 669269, 729654, 729675, 726649, 598593, 620154, 598637, 726670, 729696, 652951, 631413, 729717, 685735, 620198, 623257, 721561, 521907, 38585, 721582, 128711, 653030, 718586, 685815, 718607, 14088, 598769, 623345, 694070, 702283, 718671, 644947, 653141, 620374, 718692, 598857, 726902, 607040, 546678, 726923, 705349, 685967, 702379, 620462, 669627, 598901, 508801, 358333, 694198, 702411, 710605, 689054, 631721, 710626, 598945, 705445, 730034, 320450, 730055, 620550, 727070, 727091, 694324, 22611, 620682, 361527, 631871, 656451, 170147, 694450, 705635, 678118, 640151, 631959, 243994, 719179, 719200, 702821, 661874, 719305, 719326, 719347, 719368, 637551, 629373, 678512, 727664, 727685, 727706, 697560, 713951, 632047, 713972, 517389, 328979, 727727, 607524, 465610, 670428, 637651, 697688, 705887, 615761, 681299, 219896, 719604, 695050, 719625, 670502, 727874, 88920, 727895, 623989, 591222, 714123, 678814, 605090, 662502, 670717, 695304, 728086, 728107, 695336, 719985, 687241, 662668, 720006, 449713, 703707, 695528, 720113, 720134, 695592, 712040, 712061, 597531, 695846, 622201, 687770, 564892, 695974, 712380, 728764, 696006, 687833, 728785, 712401, 696038, 630501, 640411, 697752, 720626, 615849, 720647, 714144, 73491, 728850, 728871, 673243, 689620, 655174, 689652, 632311, 704343, 728934, 714251, 712549, 712570, 728955, 597883, 714272, 632355, 671619, 491438, 722524, 599632, 597927, 435802, 714337, 722545, 714358, 376793, 221163, 712675, 712696, 598015, 663538, 730790, 730811, 337585, 714463, 714484, 706307, 648990, 657211, 599896, 591706, 526203, 509874, 599984, 75710, 165841, 714718, 698354, 714739, 600072, 714760, 550916, 714781, 149533, 641064, 722993, 600116, 616500, 403521, 723014, 698450, 362584, 706746, 608436, 706767, 649409, 624855, 674004, 665967, 67998, 707002, 707023, 666050, 723416, 682478, 723437, 100860, 59913, 657949, 698896, 674324, 674408, 690790, 658053, 715439, 682698, 699086, 715460, 338648, 707300, 707321, 658191, 715523, 715544, 273169, 715565, 723756, 715586, 723777, 420689, 699244, 691044, 707468, 707489, 642003, 601066, 650208, 666612, 699400, 592909, 183308, 633863, 715819, 691236, 715840, 715903, 650366, 404593, 715924, 707765, 707786, 707807, 650472, 707828, 208148, 707891]"
3,"[707975, 707996, 593349, 560620, 667119, 708145, 708166, 609862, 61007, 724603, 700061, 618142, 724624, 577215, 659127, 691906, 708355, 708376, 700189, 692032, 356195, 716665, 651124, 716686, 667603, 684054, 634925, 659600, 659675, 94430, 717150, 717171, 537037, 610753, 668132, 676358, 70179, 717486, 316099, 717507, 701165, 62195, 720904, 701197, 696324, 704535, 676683, 611149, 693082, 594780, 32841, 275352, 598153, 717742, 594868, 725966, 717763, 671946, 46041, 262358, 725987, 635876, 688354, 729313, 717869, 680178, 172287, 704759, 717890, 729334, 139517, 693336, 712974, 717911, 721180, 660591, 704791, 717932, 259183, 712995, 721201, 78994, 595088, 717995, 718016, 619758, 29980, 652619, 726393, 726414, 693656, 701867, 693688, 120283, 631237, 655838, 333307, 729570, 701963, 713188, 713209, 729591, 235038, 631325, 647728, 415344, 218772, 636561, 702123, 292512, 672395, 71334, 718502, 718523, 631457, 702155, 688800, 693974, 631501, 620286, 161540, 685893, 697120, 661387, 374657, 295815, 656260, 620506, 697248, 164777, 721859, 607172, 721880, 689116, 590826, 91111, 689148, 607216, 620638, 607260, 653414, 713783, 713804, 14517, 697436, 730205, 590958, 730226, 607348, 80087, 713867, 661715, 591002, 664732, 710899, 710920, 309537, 661797, 713888, 612825, 481754, 702981, 711280, 711301, 645800, 730337, 689402, 640243, 730358, 648449, 697624, 678588, 705855, 56014, 727748, 727769, 727790, 727811, 506660, 711493, 711514, 441169, 615805, 705919, 686985, 646035, 695210, 621501, 605134, 629725, 678964, 670798, 638038, 711787, 711808, 695464, 40099, 613578, 171215, 712082, 712103, 155096, 695782, 703995, 728596, 728617, 622157, 728680, 679548, 728701, 663171, 695942, 646805, 728892, 607700, 597839, 728913, 722440, 638841, 722461, 722482, 157255, 722503, 706141, 696228, 712633, 606131, 704439, 712654, 632443, 665214, 697972, 591530, 720883, 198328, 698036, 665299, 730832, 730853, 640801, 706371, 681846, 43049, 714844, 706661, 706682, 714865, 665718, 657544, 190614, 624811, 690408, 641291, 690470, 330040, 715098, 715119, 690598, 592381, 690694, 666174, 715353, 84574, 715374, 592645, 691012, 592777, 625585, 52195, 76805, 658448, 715861, 715882, 592997, 724179, 724200, 699617, 716031, 658702, 593173, 716052, 716073, 716094]"
4,"[658762, 699777, 691618, 724390, 724412, 691650, 699841, 708060, 716287, 708081, 716308, 699965, 708187, 691810, 700029, 708208, 593525, 601718, 708229, 708250, 437954, 667386, 724732, 339711, 691970, 642842, 724754, 692000, 634705, 724820, 724842, 683905, 692158, 700377, 716752, 708567, 708589, 716774, 716796, 724989, 700407, 716818, 725010, 667680, 446509, 585784, 700467, 700499, 716886, 716910, 495731, 692350, 684191, 364696, 692414, 692478, 717061, 717086, 659749, 717108, 717129, 692636, 455075, 725414, 725435, 700881, 709078, 709099, 619021, 709121, 709143, 193058, 610885, 668286, 504468, 717529, 717550, 725754, 676605, 635656, 4867, 725775, 693018, 712761, 643912, 720968, 712783, 720989, 704599, 278626, 693114, 725881, 709501, 725902, 712805, 712827, 357264, 709523, 729229, 729250, 696480, 652231, 684996, 717785, 709588, 709610, 717806, 529389, 663778, 595000, 721138, 324695, 688386, 696576, 721159, 586875, 622905, 557369, 169080, 713017, 729398, 704821, 713039, 729420, 701643, 365761, 409963, 721265, 652529, 603400, 710012, 696704, 639364, 710034, 721286, 693720, 456153, 688576, 718333, 669171, 718355, 693782, 713231, 729612, 701995, 680451, 705041, 623125, 702027, 729633, 713252, 349770, 41521, 13908, 702091, 721519, 680577, 721540, 705191, 713403, 697024, 393929, 721604, 721625, 317168, 713424, 705253, 653082, 718629, 718650, 688896, 694134, 628611, 653200, 648069, 729991, 473047, 730013, 694228, 702443, 697278, 689084, 648154, 697308, 492513, 697340, 689180, 702567, 718968, 648210, 402457, 325764, 222248, 718989, 448652, 604315, 730163, 661657, 727198, 664649, 730184, 727219, 672873, 669877, 727241, 689274, 727263, 497880, 705665, 697496, 694514, 727326, 694578, 727347, 710983, 711004, 645502, 694642, 730292, 678279, 727496, 727517, 694736, 711154, 727538, 727559, 711175, 678442, 694828, 694858, 703077, 653947, 719474, 350847, 719496, 719518, 730316, 722113, 722134, 705791, 591090, 713994, 730380, 703137, 714016, 730401, 681249, 719539, 66861, 694986, 730423, 293588, 730445, 645858, 522986, 533841, 686834, 711408, 711430, 695082, 129825, 629549, 711535, 703357, 629637, 711556, 375724, 703419, 400318, 711661, 711682, 703547, 728171, 703611, 679051, 728193, 687298, 720070, 720092, 670971, 671019, 728385, 720198, 720220, 728406, 245090, 671105, 695686, 720284, 310718, 720305, 728512, 728533, 106036, 638547, 302681, 712294, 712315, 704183, 655073, 728807, 705951, 632223, 728829, 689556, 411041, 673191, 714166, 714188, 656873, 696134, 681461, 730635, 247310, 697878, 730657, 714294, 696196, 697908, 214594, 704407, 714316, 647072, 656987, 640621, 696260, 722567, 140948, 722589, 689842, 591574, 689936, 722738, 698164, 714549, 714570, 722760, 706415, 640884, 264070, 706436, 706458, 706480, 649157, 378935, 690252, 723036, 698482, 723057, 616588, 698610, 715013, 715035, 698642, 706873, 706895, 690534, 723374, 723395, 412127, 707045, 707066, 707088, 231964, 707109, 682554, 707216, 707237, 666290, 690948, 690980, 699212, 723841, 723863, 699336, 723926, 723947, 699368, 510948, 707596, 724010, 642095, 707617, 724031, 707639, 707660, 633951, 699525, 93329, 715946, 724137, 715967, 724158, 715989, 716010, 109792]"
5,"[11591, 429377, 691522, 716115, 716136, 683368, 453995, 716158, 142711, 118137, 658805, 691586, 535967, 716179, 658832, 650644, 675243, 716201, 683438, 699809, 716222, 708018, 708039, 69074, 724434, 716244, 11744, 716265, 642529, 724455, 44529, 683513, 724476, 658941, 708103, 593437, 699935, 708124, 650768, 724497, 724519, 724540, 519758, 618054, 659035, 716371, 724561, 716392, 503393, 724582, 618098, 691842, 609950, 708271, 159399, 691874, 85675, 601762, 716455, 724646, 716476, 675516, 724668, 618186, 708292, 708313, 700125, 650960, 716497, 708334, 691938, 716518, 634617, 716539, 700157, 683763, 618230, 716560, 724776, 134951, 544558, 708397, 618274, 601894, 700219, 724798, 372543, 618318, 708418, 683841, 274260, 12120, 397152, 282467, 692064, 700283, 421751, 724863, 667517, 470907, 102268, 708481, 692126, 708502, 724884, 708524, 716708, 716730, 700347, 683965, 528311, 708545, 692190, 724947, 643029, 634837, 724968, 249830, 692222, 12282, 634881, 512023, 716840, 725032, 12326, 708652, 675873, 323637, 725053, 716861, 168007, 299074, 643150, 708673, 634969, 725074, 553069, 725095, 684133, 700531, 667791, 716931, 151688, 708737, 716952, 692382, 651410, 708758, 708779, 381089, 716973, 643239, 463031, 405680, 700595, 716994, 708800, 692446, 643295, 725201, 717015, 708821, 708842, 667881, 717036, 651493, 725223, 626919, 700659, 692510, 643356, 700691, 708906, 692542, 708927, 700723, 667978, 700755, 708949, 708970, 684389, 692606, 700787, 643444, 348551, 708992, 668058, 676243, 700819, 709014, 709035, 119207, 643505, 717234, 700851, 332224, 709056, 717255, 12754, 692700, 643537, 725457, 602582, 610797, 700911, 725478, 266742, 643594, 651776, 717318, 610841, 717339, 217625, 700975, 709164, 602670, 725541, 725562, 692796, 668211, 717360, 725583, 701007, 709185, 717381, 676444, 692828, 709206, 709227, 651886, 701037, 619109, 725604, 725625, 725646, 701069, 709248, 643714, 520844, 717444, 717465, 610973, 692892, 709269, 709290, 701101, 725668, 692922, 725690, 709311, 660149, 611017, 725711, 701133, 21195, 692954, 160477, 578283, 684773, 725732, 692986, 709374, 439026, 13053, 606219, 668424, 717571, 720925, 647186, 717592, 709395, 709416, 688162, 717614, 611105, 639014, 725796, 693050, 725817, 729144, 709437, 663615, 720946, 704567, 606263, 701261, 717636, 668485, 717658, 729165, 709458, 545619, 696386, 627562, 717679, 655429, 701293, 635744, 709479, 688226, 729186, 684919, 594824, 696416, 635788, 717700, 693146, 717721, 721011, 729207, 201629, 65662, 709545, 422821, 721033, 471972, 701357, 676770, 688258, 611237, 725924, 114833, 721054, 635832, 712848, 725945, 655511, 709566, 704663, 701389, 688290, 13256, 627650, 712869, 712890, 721075, 598197, 570328, 729271, 676826, 693210, 712911, 729292, 611310, 639195, 627694, 701421, 385234, 668645, 693242, 516326, 709631, 594956, 701453, 598241, 693272, 327919, 611354, 696544, 627738, 652317, 712932, 709652, 712953, 709673, 668718, 701485, 726051, 57592, 693304, 726073, 709694, 726095, 676935, 513096, 729355, 627782, 598285, 447583, 685142, 237832, 672006, 652375, 701547, 663835, 647452, 611434, 532776, 590121, 595044, 8487, 726116, 688418, 729376, 185463, 668797, 663867, 672063, 242825, 177307, 652434, 639296, 696640, 704853, 496803, 287076, 688482, 726180, 152755, 598373, 726202, 595132, 622949, 693464, 713061, 713082, 709842, 663931, 726224, 644308, 704883, 668884, 718037, 718058, 709864, 611566, 726246, 693496, 685311, 701707, 693528, 611610, 619802, 701739, 709927, 644390, 693560, 668984, 709948, 603444, 726351, 660806, 619846, 693592, 701803, 726372, 693624, 718206, 611698, 603532, 655755, 644485, 729484, 688514, 718227, 685462, 631193, 721307, 246167, 718248, 704915, 431533, 710055, 713104, 726436, 672148, 82339, 726457, 688546, 710076, 718269, 729506, 696736, 701899, 713125, 611786, 619978, 713146, 726479, 729528, 598461, 464328, 718290, 704947, 721328, 713167, 710097, 729549, 701931, 614851, 696768, 710118, 718311, 726501, 710139, 726522, 672210, 704979, 693752, 598505, 721391, 688608, 685557, 726543, 710160, 311807, 644631, 213502, 390693, 688640, 267814, 718376, 611874, 639494, 721412, 620066, 726565, 721434, 614939, 710181, 156177, 710202, 726586, 652860, 718397, 693814, 721455, 688672, 726607, 710223, 696864, 620110, 434730, 8750, 655931, 718418, 713273, 685651, 483888, 702059, 631369, 636517, 718439, 705097, 710244, 680526, 726628, 713294, 661115, 710265, 623169, 664131, 696896, 614983, 721476, 644721, 721497, 710286, 623213, 677530, 13975, 696928, 705127, 713316, 693910, 713338, 615027, 729738, 647819, 336514, 688768, 696960, 112303, 612006, 194221, 598681, 726692, 726713, 729759, 713360, 726734, 696992, 713382, 710349, 14042, 639654, 628435, 271019, 718544, 729780, 620242, 729801, 669418, 688832, 505569, 710370, 598725, 726755, 623301, 718565, 726776, 729822, 628479, 352978, 612094, 180954, 721647, 694006, 710391, 688864, 697056, 5887, 672481, 702219, 710412, 566008, 631545, 726797, 418551, 87835, 680696, 579347, 694038, 729843, 729864, 628523, 620330, 710434, 726818, 489260, 713487, 710456, 664322, 726839, 639744, 669513, 697088, 14147, 721669, 710478, 705285, 726860, 148243, 721690, 63304, 467730, 341846, 595792, 729885, 606996, 694102, 721711, 688928, 702315, 713508, 705317, 726881, 713529, 710500, 718713, 713550, 672591, 688960, 697152, 721732, 718734, 721753, 631633, 525137, 459613, 14226, 399263, 607084, 694166, 721774, 595880, 713571, 688992, 697184, 705381, 628655, 74609, 710563, 713592, 718755, 689022, 631677, 710584, 718776, 713613, 721795, 697216, 726986, 718797, 661453, 686018, 107406, 607128, 628699, 721817, 727007, 721838, 718818, 713634, 645114, 276477, 664487, 710647, 718839, 672698, 6141, 694260, 702475, 713655, 14338, 571404, 202758, 713676, 710668, 718860, 205769, 661510, 653337, 705477, 639960, 694292, 604183, 702505, 718882, 669728, 710689, 730077, 530467, 99291, 718904, 132057, 582614, 145465, 620594, 710710, 721901, 710731, 727113, 14406, 631783, 718925, 705509, 604227, 211021, 727134, 730099, 661596, 664566, 686161, 640010, 730120, 377858, 672781, 713741, 604271, 705539, 721922, 718946, 710752, 730141, 631827, 14450, 721943, 284785, 727155, 694388, 721964, 713762, 705571, 727176, 514179, 645261, 640058, 345136, 689212, 702599, 697404, 189493, 710815, 607304, 694418, 648268, 230474, 686252, 705603, 721986, 702629, 590914, 722008, 686268, 689244, 186554, 631915, 710836, 722029, 710857, 713825, 719052, 587972, 697466, 710878, 713846, 694482, 681077, 427136, 722050, 366820, 730247, 689306, 719073, 653538, 702693, 730268, 227571, 722071, 656533, 719094, 279716, 727284, 407814, 719115, 681133, 727305, 702725, 722092, 607392, 710941, 645409, 719137, 710962, 719158, 678197, 153922, 727368, 702789, 727389, 694610, 104812, 653670, 476333, 711026, 648357, 689338, 727411, 713909, 719221, 301435, 719242, 711048, 178560, 727432, 702853, 96656, 719263, 727453, 711069, 694674, 702885, 653757, 686526, 661951, 711090, 727474, 694704, 47549, 719284, 645569, 711111, 702917, 711132, 678365, 432602, 694766, 637408, 662008, 121355, 686617, 719389, 334373, 457255, 703013, 719410, 612913, 596533, 711238, 719431, 703045, 711259, 686680, 268881, 719452, 391768, 694890, 596577, 563824, 694922, 686731, 711322, 416411, 6815, 694954, 629417, 713930, 632003, 705729, 672967, 689370, 722155, 656623, 705761, 681191, 615673, 607480, 697592, 386301, 451847, 722176, 115983, 689432, 632091, 705823, 711343, 722198, 722220, 596665, 615717, 697656, 719561, 703169, 714038, 689462, 711365, 711386, 719583, 703199, 383699, 722248, 714060, 629461, 654036, 656710, 695018, 632135, 72423, 607568, 113392, 703231, 648533, 689492, 673135, 730466, 662263, 621325, 629505, 711451, 138000, 719646, 703263, 604958, 596753, 318244, 654116, 236332, 703295, 645950, 719667, 711472, 637750, 695114, 662347, 719688, 605002, 686913, 580423, 719709, 727916, 697720, 621413, 490358, 607612, 719730, 654196, 605046, 695178, 730487, 689524, 727937, 722293, 719751, 664971, 711577, 574863, 730508, 719772, 195476, 662429, 703389, 727958, 547734, 727979, 711598, 670624, 637858, 654270, 719793, 695240, 15298, 711619, 719815, 711640, 719836, 687062, 728043, 695272, 678884, 703483, 637946, 605178, 359408, 719858, 629769, 719880, 646144, 474126, 728065, 605222, 277547, 662583, 695368, 64581, 711745, 719943, 703579, 719964, 605266, 711766, 695400, 572512, 646242, 695432, 703643, 711829, 711850, 638124, 670880, 703675, 711871, 326841, 515257, 679107, 7379, 711892, 711914, 703739, 711935, 556287, 662771, 589045, 679159, 695560, 498954, 703771, 711956, 285989, 711977, 367914, 703803, 711998, 408889, 81217, 695624, 687432, 662851, 671043, 712019, 638293, 728427, 695656, 703867, 728448, 703899, 597399, 728469, 728490, 695718, 687527, 703931, 712125, 654784, 212424, 720326, 720347, 712146, 662999, 646632, 728554, 597487, 204266, 712167, 679397, 728575, 712188, 482820, 433667, 97798, 695814, 720410, 704027, 712209, 720431, 663087, 712230, 712251, 646714, 147007, 720452, 597575, 720473, 335442, 712272, 687701, 720495, 695910, 458346, 671352, 704121, 597619, 269945, 228998, 540290, 720517, 392853, 720539, 179863, 597663, 728722, 712337, 188067, 351908, 728743, 622245, 712359, 679614, 638652, 720561, 597707, 671426, 720583, 417481, 720605, 704215, 663274, 558467, 466667, 712423, 712444, 681373, 34202, 679665, 704247, 607656, 597751, 648619, 605955, 696070, 239018, 730529, 679710, 591266, 720668, 630545, 697784, 294684, 705983, 288189, 704279, 730550, 689588, 605999, 722356, 687906, 730571, 597795, 632267, 722377, 638754, 58825, 712507, 671545, 706015, 720689, 704311, 640471, 663375, 714209, 730592, 720711, 697848, 679768, 606043, 720733, 714230, 507728, 712528, 730613, 696166, 607744, 648706, 83473, 656926, 687996, 163701, 706077, 689684, 130943, 49027, 730685, 442242, 706109, 712591, 312889, 606087, 720798, 689716, 679838, 688028, 728976, 581527, 663458, 370253, 9805, 712612, 728997, 484957, 729018, 591442, 689748, 648791, 720820, 730727, 729039, 681593, 599676, 591486, 647129, 706173, 606175, 597971, 689780, 671697, 704471, 9875, 688098, 706205, 689810, 696292, 648849, 729060, 698004, 729081, 599720, 124580, 344050, 632487, 714421, 714442, 640713, 657100, 648910, 722652, 681683, 272094, 698068, 395004, 722673, 698100, 354048, 591618, 698132, 665384, 599852, 591662, 681764, 419625, 689968, 468793, 255818, 567128, 730969, 714591, 722781, 690000, 698196, 649067, 730991, 182134, 698226, 722802, 690032, 714612, 714634, 722823, 599940, 714655, 722844, 698258, 690064, 698290, 690096, 722865, 714676, 714697, 444364, 665543, 722886, 722907, 600028, 698322, 690128, 10205, 690158, 321512, 624635, 722928, 583670, 690190, 722950, 493591, 10262, 682013, 722972, 698386, 624679, 714802, 657458, 698418, 92232, 649285, 714823, 460882, 624723, 133226, 600160, 616544, 206953, 624767, 682096, 108666, 346243, 714886, 723078, 723099, 714907, 698514, 706704, 690346, 706725, 616632, 698546, 714928, 723120, 690376, 665801, 723141, 714949, 714970, 723162, 682198, 723183, 714991, 616676, 706830, 624899, 690438, 616720, 477479, 649513, 657711, 624943, 706851, 665892, 674085, 452917, 698674, 715056, 723248, 682313, 641351, 723269, 715077, 723290, 10583, 698706, 674154, 723311, 657791, 698736, 27004, 534901, 706959, 10630, 641409, 690566, 715141, 633222, 723332, 715163, 723353, 649630, 518559, 698768, 305568, 682406, 706981, 674234, 715184, 698800, 657871, 559552, 690630, 715205, 715226, 698832, 715247, 690662, 289276, 698864, 723458, 649731, 715268, 715289, 723479, 592425, 715311, 723500, 641573, 707130, 502322, 240186, 707151, 248393, 723521, 690758, 715332, 649817, 698960, 592469, 723542, 658004, 723563, 698990, 641633, 313960, 707173, 707195, 281213, 699022, 592513, 576130, 690822, 715396, 715418, 486035, 436880, 649876, 699054, 592557, 723629, 690854, 707258, 10935, 658121, 707279, 723651, 690886, 592601, 715481, 723672, 666346, 10979, 715502, 723693, 690918, 543480, 707342, 699148, 682764, 600846, 723714, 649991, 666399, 371485, 723735, 199458, 699180, 707363, 355119, 600890, 641854, 674621, 592689, 658255, 715608, 682840, 666450, 469851, 723798, 723819, 715630, 707426, 600934, 666482, 707447, 641931, 699276, 715651, 691076, 568199, 609176, 715672, 674706, 600978, 699306, 666537, 715693, 723884, 601022, 707510, 592821, 682933, 707531, 715714, 723905, 609220, 691140, 715735, 715756, 592865, 707553, 691172, 707574, 445433, 715777, 723968, 691204, 322579, 715798, 584725, 723989, 650286, 592953, 633907, 551988, 494661, 691268, 150618, 724052, 724073, 707681, 691300, 699493, 363638, 380017, 724094, 707702, 461956, 642191, 724115, 593041, 699555, 658616, 650418, 19651, 691394, 347343, 699585, 593129, 691426, 666850, 707849, 691458, 699649, 707870, 691490, 683298, 699681, 650557]"
6,"[691554, 675319, 691746, 315030, 692286, 233592, 717276, 717297, 127530, 53969, 86752, 643831, 643994, 598329, 382160, 611742, 680364, 631281, 562752, 656173, 726944, 726965, 14271, 727028, 727049, 686334, 705697, 702949, 727622, 727643, 173373, 722314, 728000, 728021, 703835, 720241, 720262, 703963, 671185, 630457, 722335, 646984, 591398, 632399, 697940, 714379, 714400, 18180, 690284, 706788, 706809, 616764, 592733, 675068]"
7,"[388556, 413206, 716581, 716602, 724905, 724926, 430454, 659825, 692668, 725499, 725520, 709332, 709353, 340780, 635700, 688194, 696448, 685071, 718121, 718142, 619890, 622993, 614895, 705159, 541342, 713445, 713466, 661294, 598813, 620418, 645035, 423891, 598989, 549851, 697372, 669817, 710773, 710794, 727580, 670256, 727601, 31424, 591178, 621369, 703451, 728128, 728149, 728256, 728277, 654703, 695750, 654867, 704059, 122419, 695878, 646895, 591354, 706047, 655268, 548788, 655355, 689906, 673560, 706916, 706937, 707384, 707405, 609088, 527255, 625629, 298007, 699463]"
8,"[126340, 691714, 716329, 675375, 716350, 626269, 675432, 175719, 667248, 601806, 724689, 724710, 651018, 634661, 708439, 708460, 634793, 241588, 692254, 77905, 708863, 708884, 692732, 700943, 602626, 414279, 602714, 668366, 701229, 475188, 671822, 725838, 725859, 426064, 573614, 704695, 721096, 196813, 721117, 709715, 709736, 693368, 696608, 709757, 717953, 709778, 717974, 721222, 721243, 677033, 554147, 696672, 729441, 647537, 729462, 369018, 718079, 709885, 709906, 718100, 603488, 619934, 652771, 611830, 696800, 251398, 538132, 598549, 672291, 611918, 611962, 688704, 718460, 718481, 710307, 710328, 680624, 612050, 702187, 702251, 440098, 647949, 631589, 702347, 705413, 680856, 686076, 443306, 694356, 680999, 719010, 719031, 702661, 669931, 694546, 702757, 694798, 539226, 596621, 607436, 591134, 596709, 727832, 678703, 727853, 695146, 714081, 714102, 621457, 629681, 711703, 711724, 654442, 605310, 531620, 728299, 728321, 720155, 720176, 597443, 24059, 671268, 728638, 704089, 728659, 704153, 656794, 712465, 524066, 712486, 591310, 696102, 697816, 722398, 722419, 720755, 319352, 640532, 720776, 673355, 730748, 401386, 730769, 704503, 722610, 722631, 689874, 599764, 599808, 665465, 681930, 296935, 657378, 706575, 706596, 600204, 428260, 174484, 690726, 396079, 35632, 609132, 650131, 691108, 683074, 674927, 658532, 707723, 691332, 666779, 707744, 593085, 224467, 216277, 191781, 724263, 724284]"
9,"[666934, 593393, 683593, 691778, 692096, 635013, 725244, 725265, 717192, 684443, 717213, 606307, 639103, 726137, 726158, 136475, 480671, 623037, 620022, 693846, 123496, 688736, 612138, 628567, 729906, 710521, 680776, 729927, 710542, 729948, 639848, 729969, 25535, 702537, 590870, 304173, 555217, 670086, 260757, 591046, 673052, 162618, 703327, 632179, 703515, 719901, 719922, 720027, 728214, 728235, 720048, 646322, 695496, 662909, 501250, 704375, 720841, 720862, 542401, 673477, 632531, 690222, 698578, 724221, 724242, 265518]"